id,name,description,type,damage,attackBonus,acBonus,effect,scalingAttribute,aoe
scholar_ledger,Scholar's Ledger,"Vael's bound calculation ledger. Contains structural assessment notes, stress readings, and the running tally of where the cost actually went.",tool,,,,,,
alchemical_chalk,Alchemical Chalk,"Sticks of chalk compounded with inert stabilizing salts, used for drawing single-use alchemical circles on any surface. Safe to handle; inert until activated with user energy and fuel.",tool,,,,,,
fuel_blocks,Tier 2 Fuel Blocks,"Three refined copper-alloy fuel blocks. Tier 2 material—reliable, clean-burning, the industrial standard. Pays the energy cost of alchemical circle work. Without fuel, a circle is just a drawing.",tool,,,,,,
diagnostic_plates,Pre-inscribed Diagnostic Plates,"Copper-alloy plates with circles already inscribed: diagnostic, stress assessment, and basic reinforcement. Reusable until the pattern degrades. The Field Scholar's primary toolkit.",tool,,,,,,
crane_report,Crane Anomaly Report,"Formal documentation of the unauthorized reinforcement circle on Harbor Crane Seven. Notes the Tier 1 paste degradation, stress accumulation rate, and estimated failure timeline.",tool,,,,,,
energy_readings,Ambient Fuel Distribution Scan,"Annotated readings of material and energy distribution across Karet Bay's lower district. Shows maintenance circles running at 40% capacity due to depleted fuel reserves.",tool,,,,,,
worker_testimony,Kaelen's Statement,"Kaelen's written account of bonding a reinforcement circle to the crane's load-bearing joint. Explains the material shortage that made Tier 1 paste the only available option.",tool,,,,,,
purifier_sample,Purifier Runoff Sample,"A sealed vial of the toxic chemical compound Elara's purifier extracts from the water supply. Analysis shows it renders alchemical fuel inert on contact.",tool,,,,,,
seawall_analysis,Seawall Structural Analysis,"Engineering assessment of the bay seawall. Documents the emptied fuel chambers, dormant maintenance circles, and chemical contamination accelerating structural failure.",tool,,,,,,
toris_orders,Material Redistribution Orders,"Signed CEA authorization documents directing the redirection of Karet Bay's Tier 2 material allocation to the Highpoint Transit Rail project. Seven months of diverted supply.",tool,,,,,,
feedback_calculation,Cascade Failure Proof,"Vael's calculations showing how the CEA's material redirection, Elara's purifier, and the district's improvised patchwork create converging failure timelines in the seawall.",tool,,,,,,
district_map,Annotated District Map,"A hand-marked map of Karet Bay's underground drainage and conduit network, noting fuel depletion patterns and the directional flow toward the CEA substation.",tool,,,,,,
transit_anomaly,Transit Rail Anomaly Notes,"Ledger notes documenting unexplained structural efficiency in the Highpoint Transit Rail. A 12-15% output gap above what the redirected materials can account for. The exchange doesn't balance. There is no known material or method that produces results this clean. The numbers are not wrong — they are impossible, and impossibility in alchemy means either the instruments have failed or something is paying a cost this ledger cannot see.",tool,,,,,,
energy_tonic,Energy Tonic,"A crude but functional alchemical preparation that stabilizes the body's own reserves and delays fatigue from self-fueled circle work. Label reads: DO NOT INGEST IF EXPERIENCING DISTORTION, PREGNANCY, OR OPINIONS.",consumable,,,,adjust_energy:15,,
dock_rations,Dock Rations,Salted fish and hard bread. Basic fuel for dock workers.,consumable,,,,heal:5,,
cea_authorization,CEA Inspector Authorization,"Official brass-sealed credential identifying Vael as a Measured Scholar on Authority business. Opens administrative doors. Does not open the mouths of people who don't want to talk.",tool,,,,,,
copper_standards,Copper Standards,Small stamped copper disks used as everyday currency in the lower bay.,tool,,,,,,
theater_report,Field Assessment — Supplementary Notes (UNOFFICIAL),"Your attempt to document the Acceptable Loss Revue as an official field report. The resulting document is eleven pages long. The official section is one paragraph. The remaining ten pages contain detailed notes on theatrical alchemy theory, a sketch of Petra's modified drainage circle, and the lyrics to Act II transcribed in full scholarly notation. You are not sure Mireth will accept this as billable hours.",tool,,,,,,
warehouse_manifest,Warehouse Shipping Manifests,"Copies of CEA logistics manifests documenting the systematic rerouting of Tier 2 maintenance materials from Karet Bay to the Highpoint Transit Rail project. Seven months of evidence in Senna's careful handwriting.",tool,,,,,,
supply_ledger,Supply Chain Ledger,"Comprehensive analysis of material flows through the warehouse district. Documents the 73% redirection rate across six districts. Not just Karet Bay—the problem is systemic.",tool,,,,,,
freehands_token,Freehands Network Token,"A copper washer with a Freehand circle-mark stamped into it. Brin gave it to you. It identifies you as trusted by the mutual-aid network. Workers recognize it before they recognize your Scholar credentials.",tool,,,,,,
workers_petition,District Workers' Petition,"A collective petition signed by forty-three dock workers documenting infrastructure failures and requesting emergency material reallocation. Filed through proper channels. Acknowledged. Ignored.",tool,,,,,,
night_market_rations,Night Market Dumplings,"Unreasonably good dumplings from the night market cart. The vendor has been feeding the night shift for twelve years. They restore more than just energy.",consumable,,,,adjust_energy:15,,
district_almanac,District Almanac,"Hand-bound booklet of unofficial district data: water pressure readings, structural assessments, maintenance schedules the CEA stopped publishing. One-person journalism.",tool,,,,,,
ash_contact_token,Ash's Contact Diagram,"A hand-drawn diagram of the CEA material conduit system, annotated with transfer point vulnerabilities. Ash's way of saying the option exists without asking you to take it.",tool,,,,,,
structural_survey,Deep Seawall Survey,"Comprehensive structural profile of the seawall's foundation, including failure point mapping, degradation timeline, and chemical contamination analysis. The first complete assessment that exists anywhere.",tool,,,,,,
nev_analysis,Scholar Nev's Parallel Findings,"Nev's independent material flow audit documenting the same supply chain redirection from the harbor authority end. Combined with your data, it constitutes proof.",tool,,,,,,
senna_logs,Harbor Coordinator's Shipping Logs,"Senna's personal records of every irregular shipment that passed through her office. Eleven years of careful documentation by someone who knew the numbers were wrong.",tool,,,,,,
archived_complaints,Archived District Complaints,"Three previous formal complaints about material redirection, filed by district residents, all stamped REVIEWED - NO ACTION REQUIRED by Overseer Toris.",tool,,,,,,
elara_toolkit,Practical Alchemy Toolkit,"Elara's field tools: hand-ground chalk, salvaged copper wire, a set of templates for common repair circles. Nothing from the Academy catalogue. Everything that actually works.",tool,,,,,,
complaint_receipts,CEA Complaint Receipts,"Old Tomas's filed complaint receipts. Three form numbers. Three acknowledgments. Zero actions. The paper trail of institutional indifference.",tool,,,,,,
reclaimed_materials,Reclaimed Tier 2 Materials,"Tier 2 maintenance materials recovered from the CEA staging area. Originally allocated to Karet Bay. Returned by methods that the CEA would describe as theft and the workers would describe as justice.",tool,,,,,,
kaelen_trust_mark,Kaelen's Trust Mark,"A dock worker's knot tied in thick rope—Kaelen's way of vouching for you to the crew. It means they'll follow your calculations without question. It means you'd better be right.",tool,,,,,,
dagger_iron,Iron Dagger,A short blade balanced for quick work.,weapon,1d4,,,,,
health_potion,Health Potion,"Alchemical restorative. Label warns about mixing with diagnostic chalk.",consumable,,,,heal:6,,
